code,term
100721000119109,High grade astrocytoma of brain
100731000119107,Low grade astrocytoma of brain
104981000119104,Oligodendroglioma of cerebrum
107581000119103,Astrocytoma of brain stem
109912006,Overlapping malignant neoplasm of brain
11471000224106,Diffuse intrinsic pontine glioma
1155991005,Metastatic malignant neoplasm to leptomeninges
1156413005,Gliomatosis cerebri
1156414004,Giant cell glioblastoma of brain
1156415003,Protoplasmic astrocytoma of brain
1156416002,Gemistocytic astrocytoma of brain
1156417006,Fibrillary astrocytoma of brain
1156455001,Pleomorphic xanthoastrocytoma of brain
1156456000,Pilomyxoid astrocytoma of brain
1156460002,Desmoplastic nodular medulloblastoma of brain
1156461003,Gliosarcoma of brain
1156469001,Large cell medulloblastoma of brain
1156471001,Choroid plexus carcinoma
1156472008,Papillary tumor of pineal region
1157060001,Diffuse astrocytoma of brain
1196839006,Primary embryonal carcinoma of brain
1196844004,Primary malignant astrocytoma of brain
1196860000,Primary anaplastic large cell medulloblastoma of brain
1196898000,Primary malignant atypical teratoid rhabdoid neoplasm of brain
1197298003,Primary malignant germ cell neoplasm of pineal gland
1217383007,RELA fusion-positive supratentorial ependymoma
1231267007,Primary malignant ependymoma of optic nerve
1237425009,Metastatic carcinoma to pituitary
1237578005,Primary oculocerebral non-Hodgkin lymphoma
1251456000,Metastatic neuroblastoma to brain
1251484005,Metastatic adenocarcinoma to pituitary gland
1259425005,Primary neuroblastoma of brain
1259492003,Dementia due to metastatic malignant neoplasm to brain
1259629009,Primary adenocarcinoma of pituitary gland
1259692005,Primary gliosarcoma of brain
1259720004,Primary malignant glioma of brain
1259722007,Primary glioblastoma multiforme of brain
1259724008,Primary anaplastic astrocytoma of brain
1259725009,Primary medulloblastoma of cerebellum
1259730008,Primary oligodendroglioma of brain
1259731007,Primary astrocytoma of spinal cord
1259733005,Primary malignant astrocytoma of optic nerve
1259734004,Primary malignant meningioma of optic nerve sheath
1259739009,Primary malignant glioma of hypothalamus
1259740006,Primary malignant glioma of cerebellum
1259742003,Primary malignant glioma of cerebrum
1259743008,Primary astrocytoma of brain stem
1259749007,Primary malignant meningioma of meninges of brain
1259750007,Primary astrocytoma of cerebrum
1259762006,Primary malignant optic glioma of adulthood
1259764007,Primary supratentorial primitive neuroectodermal tumor
1259765008,Primary classic medulloblastoma
1259769002,Primary malignant glioma of brainstem
1259770001,Primary anaplastic glioma of brain
1259773004,Primary anaplastic astrocytoma of spinal cord
1259787004,Primary malignant optic glioma
1259798003,Primary oligodendroglioma of cerebrum
1259812009,Primary astroblastoma of brain
1259814005,Primary gemistocytic astrocytoma of brain
1259815006,Primary giant cell glioblastoma of brain
1259816007,Primary fibrillary astrocytoma of brain
1259817003,Primary pleomorphic xanthoastrocytoma of brain
1259818008,Primary pilomyxoid astrocytoma of brain
1263578000,Increased cerebrospinal fluid production due to choroid plexus carcinoma
1268352008,Primary carcinoma of pituitary gland
1268528000,Primary olfactory neuroblastoma
1268702001,Primary choroid plexus carcinoma
1268716006,Primary medulloblastoma
1268888008,Primary pineal parenchymal tumor of intermediate differentiation
1268957005,Primary pineoblastoma
1268961004,Primary diffuse astrocytoma of brain
